,id,full_name
232,76112,Mike Barr
233,76113,Thomas Barr
234,2857,Andre Barrett
235,76114,Ernie Barrett
236,1629628,RJ Barrett
237,2853,Earl Barron
238,344,Dana Barros
239,699,Brent Barry
240,1003,Drew Barry
241,468,Jon Barry
242,600013,Rick Barry
243,76117,Ed Bartels
244,76118,Vic Bartolome
245,203115,Will Barton
246,101188,Eddie Basden
247,76119,Jerry Baskerville
248,101138,Brandon Bass
249,1628238,Paris Bass
250,76120,Tim Bassett
251,1629646,Charles Bassey
252,1766,Maceo Baston
253,2370,Mengke Bateer
254,76121,Billyray Bates
255,1641734,Emoni Bates
256,1628966,Keita Bates-Diop
257,101212,Esteban Batista
258,2471,Mike Batiste
259,1499,Tony Battie
260,2203,Shane Battier
261,174,John Battle
262,76123,Kenny Battle
263,76124,Dave Batton
264,201587,Nicolas Batum
265,76125,Johnny Baum
266,76126,Frankie Baumholtz
267,2437,Lonny Baxter
268,201573,Jerryd Bayless
269,76127,Elgin Baylor
270,203382,Aron Baynes
271,76128,Sergei Bazarevich
272,203145,Kent Bazemore
273,1629647,Darius Bazley
274,76129,Ed Beach
275,203078,Bradley Beal
276,76130,Butch Beard
277,76131,Ralph Beard
278,2602,Jerome Beasley
279,1627736,Malik Beasley
280,201563,Michael Beasley
281,76133,Zelmo Beaty
282,201958,Rodrigue Beaubois
283,1630699,MarJon Beauchamp
284,76134,Byron Beck
285,1133,Corey Beck
286,76136,Ernie Beck
287,76137,Moe Becker
288,76138,William Bedford
289,1641777,Charles Bediako
290,76139,Hank Beenders
291,76140,Ron Behagen
292,76141,Elmer Behnke
293,201158,Marco Belinelli
294,2294,Charlie Bell
295,76142,Dennis Bell
296,1628395,Jordan Bell
297,1952,Raja Bell
298,2559,Troy Bell
299,76143,William Bell
300,76144,Walt Bellamy
301,1627761,DeAndre' Bembry
302,76145,Irv Bemoras
303,76146,Leon Benbow
304,1627733,Dragan Bender
305,1886,Jonathan Bender
306,203968,Jerrelle Benimon
307,104,Benoit Benjamin
308,1736,Corey Benjamin
309,203461,Anthony Bennett
310,1120,Elmer Bennett
311,712,Mario Bennett
312,76151,Mel Bennett
313,76148,Tony Bennett
314,76152,Winston Bennett
315,128,David Benoit
316,202728,Keith Benson
317,76154,Kent Benson
318,1627791,Ben Bentil
319,76155,Gene Berce
320,76156,Gary Bergen
321,76157,Ricky Berry
322,76158,Walter Berry
323,1629541,Dairis Bertans
324,202722,Davis Bertans
325,76159,Del Beshore
326,696,Travis Best
327,201976,Patrick Beverley
328,1630180,Saddiq Bey
329,1630189,Tyler Bey
330,204021,Sim Bhullar
331,76160,Al Bianchi
332,76161,Hank Biasatti
333,76162,Henry Bibby
334,1710,Mike Bibby
335,76163,Ed Biedenbach
336,2740,Andris Biedrins
337,76164,Don Bielke
338,76165,Bob Bigelow
339,1497,Chauncey Billups
340,76166,Dave Bing
341,76167,Joe Binion
342,203920,Khem Birch
343,1628444,Jabari Bird
344,76168,Jerry Bird
345,1449,Larry Bird
346,76170,Otis Birdsong
347,76171,Gale Bishop
348,1629048,Goga Bitadze
349,1641931,Onuralp Bitim
350,202687,Bismack Biyombo
351,202357,Nemanja Bjelica
352,76172,Uwe Blab
353,1641710,Anthony Black
354,76173,Charlie Black
355,1641778,Leaky Black
356,76174,Norman Black
357,204028,Tarik Black
358,76175,Tom Black
359,76176,Rolando Blackman
360,76180,Alex Blackwell
361,76177,Cory Blackwell
362,1806,James Blackwell
363,76179,Nate Blackwell
364,201971,DeJuan Blair
365,2581,Steve Blake
366,202392,Marqus Blakely
367,1628469,Antonio Blakeney
368,200807,Will Blalock
369,76182,George Blaney
370,76183,Lance Blanks
371,76184,Ricky Blanton
372,101154,Andray Blatche
373,302,Mookie Blaylock
374,202339,Eric Bledsoe
375,1629833,Keljin Blevins
376,76186,Leon Blevins
377,76187,John Block
378,76188,Mike Bloom
379,1628417,Jaron Blossomgame
380,916,Corie Blount
381,1548,Mark Blount
382,203505,Vander Blue
383,1629129,Trevon Bluiett
384,76189,Ray Blume
385,76190,Nelson Bobb
386,2800,Tony Bobbitt
387,76191,Arlen Bockhorn
388,1631205,Buddy Boeheim
389,76192,Tom Boerwinkle
390,2586,Keith Bogans
391,203992,Bogdan Bogdanovic
392,202711,Bojan Bogdanovic
393,177,Muggsy Bogues
394,101106,Andrew Bogut
395,1564,Etdrick Bohannon
396,1629626,Bol Bol
397,76195,Manute Bol
398,1628413,Jonah Bolden
399,1629716,Marques Bolden
400,76196,Bill Bolger
401,1630195,Leandro Bolmaro
402,1627762,Joel Bolomboy
403,76197,Doug Bolstorff
404,76203,George H. Bon Salle
405,76198,Phil Bond
406,1603,Walter Bond
407,1629648,Jordan Bone
408,1121,Dexter Boney
409,1629067,Isaac Bonga
410,76201,Ron Bonham
411,41,Anthony Bonner
412,2588,Matt Bonner
413,1626164,Devin Booker
414,511,Melvin Booker
415,202344,Trevor Booker
416,200767,Josh Boone
417,76204,Ron Boone
418,1916,Calvin Booth
419,1522,Keith Booth
420,76206,Bob Boozer
421,2430,Carlos Boozer
422,2414,Curtis Borchardt
423,76207,Jake Bornheimer
424,1953,Lazaro Borrell
425,76209,Costic Borsavage
426,76210,Vince Boryla
427,2547,Chris Bosh
428,76211,Jim Bostic
429,76212,Lawrence Boston
430,1630527,Brandon Boston Jr.
431,76213,Tom Boswell
432,1628449,Chris Boucher
433,1630547,James Bouknight
434,2257,Ruben Boumtje-Boumtje
435,1631123,Jamaree Bouyea
436,76214,Don Boven
437,1898,Cal Bowdler
438,1477,Bruce Bowen
439,1763,Ryan Bowen
440,1628968,Brian Bowen II
441,194,Anthony Bowie
442,76217,Sam Bowie
443,1085,Ira Bowman
444,1629065,Ky Bowman
445,76219,Nate Bowman
446,671,Donnie Boyce
447,76221,Dennis Boyd
448,76222,Fred Boyd
449,76223,Ken Boyd
450,1863,Earl Boykins
451,76224,Harry Boykoff
452,76225,Winford Boynes
453,200841,Cedric Bozeman
454,76226,Steve Bracey
455,202342,Craig Brackins
456,76227,Gary Bradds
457,76228,Alex Bradley
458,76229,Alonzo Bradley
459,202340,Avery Bradley
460,76233,Bill Bradley
461,76230,Charles Bradley
462,76231,Dudley Bradley
463,76232,Joe Bradley
464,2214,Michael Bradley
465,762,Shawn Bradley
466,1628396,Tony Bradley
467,1361,Mark Bradtke
468,66,Marques Bragg
469,1765,Torraye Braggs
470,1920,A.J. Bramlett
471,76237,Adrian Branch
472,1882,Elton Brand
473,210,Terrell Brandon
474,1631103,Malaki Branham
475,76238,Bob Brannum
476,76239,Brad Branson
477,76240,Jesse Branson
478,1629714,Jarrell Brantley
479,76241,Jim Brasco
480,76242,Mike Bratz
481,76243,Carl Braun
482,1631128,Christian Braun
483,1629649,Ignas Brazdeikis
484,160,Tim Breaux
485,2452,J.R. Bremer
486,76245,Pete Brennan
487,76246,Tom Brennan
488,76247,Randy Breuer
489,201147,Corey Brewer
490,2249,Jamison Brewer
491,76248,Jim Brewer
492,76249,Ron Brewer
493,200758,Ronnie Brewer
494,2056,Primoz Brezec
495,76250,Frank Brian
496,783,Frank Brickowski
497,76252,Junior Bridgeman
498,76253,Bill Bridges
499,1628969,Mikal Bridges
500,1628970,Miles Bridges
501,76254,Al Brightman
502,1628578,Amida Brimah
503,76255,Audley Brindley
504,1628515,Isaiah Briscoe
505,76256,John Brisker
506,1629052,Oshae Brissett
507,76257,Allan Bristow
508,76258,Tyrone Britt
509,76259,Wayman Britt
510,76260,Mike Brittain
511,76261,David Britton
512,201972,Jon Brockman
513,1629151,Ryan Broekhoff
514,76262,Jim Brogan
515,1627763,Malcolm Brogdon
516,76263,Gary Brokaw
517,76264,Price Brookfield
518,201166,Aaron Brooks
519,1629717,Armoni Brooks
520,1628415,Dillon Brooks
521,76265,Kevin Brooks
522,202705,MarShon Brooks
523,76266,Michael Brooks
524,418,Scott Brooks
525,2810,Andre Brown
526,1626148,Anthony Brown
527,76284,Bob Brown
528,201628,Bobby Brown
529,1628971,Bruce Brown
530,359,Chucky Brown
531,2245,Damone Brown
532,76270,Darrell Brown
533,244,Dee Brown
534,200793,Dee Brown
535,201974,Derrick Brown
536,2484,Devin Brown
537,2081,Ernest Brown
538,76272,Fred Brown
539,76273,George Brown
540,1871,Gerald Brown
541,76275,Harold Brown
542,203913,Jabari Brown
543,1627759,Jaylen Brown
544,76276,John Brown
545,2208,Kedrick Brown
546,1631112,Kendall Brown
547,1641738,Kobe Brown
548,2198,Kwame Brown
549,76278,Leon Brown
550,76279,Lewis Brown
551,203485,Lorenzo Brown
552,992,Marcus Brown
553,203900,Markel Brown
554,1479,Mike Brown
555,1629650,Moses Brown
556,76277,Myron Brown
557,136,P.J. Brown
558,753,Randy Brown
559,76282,Raymond Brown
560,76283,Rickey Brown
561,76286,Roger Brown
562,200769,Shannon Brown
563,76285,Stan Brown
564,1628425,Sterling Brown
565,2357,Tierre Brown
566,76268,Tony Brown
567,1630535,Greg Brown III
568,1629718,Charlie Brown Jr.
569,1630602,Chaundee Brown Jr.
570,1628972,Troy Brown Jr.
571,76287,Jim Browne
572,76288,Stanley Brundy
573,1628973,Jalen Brunson
574,1594,Rick Brunson
575,1627852,Nicolas Brussino
576,1629091,Elijah Bryant
577,76289,Emmette Bryant
578,76290,Joe Bryant
579,977,Kobe Bryant
580,95,Mark Bryant
